query_id,system,returned_at_k,p_at_10,strict_p_at_10,ndcg_at_10,mrr_at_10,pooled_relevant_coverage_at_10,zero_result
G01,omicsdi,10,0.8,0.0,0.490593,0.0,0.421053,0
G02,bioscouter_keyword,10,0.7,0.5,0.838677,1.0,0.28,0
G02,bioscouter_embedding,10,1.0,0.4,0.84646,1.0,0.4,0
G02,bioscouter_hybrid,10,1.0,0.4,0.84646,1.0,0.4,0
G02,native_source_api,10,1.0,0.6,0.982544,1.0,0.4,0
G02,omicsdi,10,1.0,0.0,0.407388,0.0,0.4,0
G03,bioscouter_keyword,10,0.9,0.0,0.617945,0.0,0.409091,0
G03,bioscouter_embedding,10,0.8,0.1,0.744532,0.333333,0.363636,0
G03,bioscouter_hybrid,10,0.8,0.1,0.744532,0.333333,0.363636,0
G03,native_source_api,10,0.9,0.0,0.617945,0.0,0.409091,0
G03,omicsdi,10,0.9,0.0,0.63992,0.0,0.409091,0
G04,bioscouter_keyword,10,1.0,0.4,0.709892,0.25,0.37037,0
G04,bioscouter_embedding,10,1.0,0.2,0.556707,0.142857,0.37037,0
G04,bioscouter_hybrid,10,1.0,0.1,0.490561,0.1,0.37037,0
G04,native_source_api,1,0.0,0.0,0.0,0.0,0.0,0
G04,omicsdi,10,0.7,0.0,0.327682,0.0,0.259259,0
G05,bioscouter_keyword,10,1.0,0.2,1.0,1.0,0.5,0
G05,bioscouter_embedding,10,0.8,0.2,0.770579,1.0,0.4,0
G05,bioscouter_hybrid,10,0.8,0.2,0.770579,1.0,0.4,0
G05,native_source_api,1,0.0,0.0,0.0,0.0,0.0,0
G05,omicsdi,10,0.7,0.0,0.330449,0.0,0.35,0
G06,bioscouter_keyword,10,1.0,1.0,1.0,1.0,0.285714,0
G06,bioscouter_embedding,10,1.0,1.0,1.0,1.0,0.285714,0
G06,bioscouter_hybrid,10,1.0,1.0,1.0,1.0,0.285714,0
G06,native_source_api,10,1.0,0.9,0.943238,1.0,0.285714,0
G06,omicsdi,10,1.0,0.9,0.926636,1.0,0.285714,0
G07,bioscouter_keyword,10,0.8,0.1,0.593956,0.2,0.363636,0
G07,bioscouter_embedding,10,0.3,0.0,0.266849,0.0,0.136364,0
G07,bioscouter_hybrid,10,0.3,0.0,0.266849,0.0,0.136364,0
G07,native_source_api,10,0.4,0.0,0.282823,0.0,0.181818,0
G07,omicsdi,10,1.0,0.0,0.694356,0.0,0.454545,0
G08,bioscouter_keyword,10,1.0,0.7,0.758075,0.5,0.416667,0
G08,bioscouter_embedding,10,1.0,0.8,0.834061,1.0,0.416667,0
G08,bioscouter_hybrid,10,0.9,0.7,0.760697,1.0,0.375,0
G08,native_source_api,10,1.0,0.7,0.758075,0.5,0.416667,0
G08,omicsdi,10,0.9,0.2,0.42073,0.333333,0.375,0
G09,bioscouter_keyword,10,1.0,0.0,1.0,0.0,0.384615,0
G09,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.384615,0
G09,bioscouter_hybrid,10,1.0,0.0,1.0,0.0,0.384615,0
G09,native_source_api,1,0.0,0.0,0.0,0.0,0.0,0
G09,omicsdi,10,1.0,0.0,1.0,0.0,0.384615,0
G10,bioscouter_keyword,10,1.0,0.5,1.0,1.0,0.47619,0
G10,bioscouter_embedding,10,0.7,0.4,0.745702,1.0,0.333333,0
G10,bioscouter_hybrid,10,0.5,0.4,0.668412,1.0,0.238095,0
G10,native_source_api,10,1.0,0.5,1.0,1.0,0.47619,0
G10,omicsdi,10,0.8,0.0,0.372236,0.0,0.380952,0
M01,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M01,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M01,bioscouter_hybrid,10,0.7,0.1,0.578656,1.0,0.333333,0
M01,native_source_api,9,0.7,0.0,0.364422,0.0,0.333333,0
M01,omicsdi,10,0.9,0.3,0.799507,1.0,0.428571,0
M02,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M02,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M02,bioscouter_hybrid,10,0.6,0.3,0.425351,0.2,0.285714,0
M02,native_source_api,7,0.7,0.0,0.348451,0.0,0.333333,0
M02,omicsdi,10,0.8,0.2,0.631918,1.0,0.380952,0
M03,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M03,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M03,bioscouter_hybrid,10,0.2,0.0,0.096276,0.0,0.181818,0
M03,native_source_api,3,0.2,0.0,0.155171,0.0,0.181818,0
M03,omicsdi,10,0.8,0.4,0.912205,1.0,0.727273,0
M04,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M04,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M04,bioscouter_hybrid,10,0.3,0.0,0.325653,0.0,0.3,0
M04,native_source_api,3,0.0,0.0,0.0,0.0,0.0,0
M04,omicsdi,7,0.7,0.1,0.861611,1.0,0.7,0
M05,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M05,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M05,bioscouter_hybrid,10,0.8,0.1,0.418731,0.5,0.380952,0
M05,native_source_api,5,0.4,0.0,0.207153,0.0,0.190476,0
M05,omicsdi,10,1.0,0.6,0.761079,0.5,0.47619,0
M06,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M06,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M06,bioscouter_hybrid,10,0.7,0.0,0.793584,0.0,0.583333,0
M06,native_source_api,3,0.0,0.0,0.0,0.0,0.0,0
M06,omicsdi,5,0.5,0.0,0.648932,0.0,0.416667,0
M07,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M07,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M07,bioscouter_hybrid,10,0.6,0.0,0.725728,0.0,1.0,0
M07,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
M07,omicsdi,0,0.0,0.0,0.0,0.0,0.0,1
M08,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M08,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M08,bioscouter_hybrid,10,0.3,0.0,0.173356,0.0,0.25,0
M08,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
M08,omicsdi,9,0.9,0.1,0.955825,1.0,0.75,0
M09,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M09,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M09,bioscouter_hybrid,10,0.7,0.1,0.335011,0.5,0.35,0
M09,native_source_api,4,0.4,0.0,0.205743,0.0,0.2,0
M09,omicsdi,10,0.9,0.7,0.864265,1.0,0.45,0
M10,bioscouter_keyword,0,0.0,0.0,0.0,0.0,0.0,1
M10,bioscouter_embedding,0,0.0,0.0,0.0,0.0,0.0,1
M10,bioscouter_hybrid,10,0.8,0.0,0.406244,0.0,0.444444,0
M10,native_source_api,1,0.1,0.0,0.103447,0.0,0.055556,0
M10,omicsdi,10,0.9,0.4,0.897263,1.0,0.5,0
MG01,bioscouter_keyword,10,0.5,0.1,0.455555,0.5,0.294118,0
MG01,bioscouter_embedding,10,0.5,0.0,0.238178,0.0,0.294118,0
MG01,bioscouter_hybrid,10,0.5,0.0,0.238178,0.0,0.294118,0
MG01,native_source_api,7,0.5,0.2,0.559642,0.5,0.294118,0
MG01,omicsdi,10,0.5,0.1,0.336875,0.333333,0.294118,0
MG02,bioscouter_keyword,10,1.0,0.4,0.814213,1.0,0.434783,0
MG02,bioscouter_embedding,10,1.0,0.2,0.556707,0.142857,0.434783,0
MG02,bioscouter_hybrid,10,1.0,0.2,0.556707,0.142857,0.434783,0
MG02,native_source_api,1,0.1,0.1,0.287343,1.0,0.043478,0
MG02,omicsdi,10,0.8,0.0,0.374427,0.0,0.347826,0
MG03,bioscouter_keyword,10,0.9,0.4,0.661789,1.0,0.6,0
MG03,bioscouter_embedding,10,0.6,0.6,0.693663,1.0,0.4,0
MG03,bioscouter_hybrid,10,0.6,0.6,0.693663,1.0,0.4,0
MG03,native_source_api,1,0.1,0.1,0.220092,1.0,0.066667,0
MG03,omicsdi,2,0.0,0.0,0.0,0.0,0.0,0
MG04,bioscouter_keyword,10,0.7,0.5,0.651609,1.0,0.291667,0
MG04,bioscouter_embedding,10,1.0,0.7,0.762815,0.5,0.416667,0
MG04,bioscouter_hybrid,10,1.0,0.7,0.762815,0.5,0.416667,0
MG04,native_source_api,4,0.3,0.3,0.343697,0.5,0.125,0
MG04,omicsdi,4,0.4,0.0,0.187929,0.0,0.166667,0
MG05,bioscouter_keyword,10,1.0,1.0,1.0,1.0,0.30303,0
MG05,bioscouter_embedding,10,1.0,0.6,0.771932,1.0,0.30303,0
MG05,bioscouter_hybrid,10,1.0,0.6,0.771932,1.0,0.30303,0
MG05,native_source_api,10,1.0,1.0,1.0,1.0,0.30303,0
MG05,omicsdi,10,1.0,0.0,0.333333,0.0,0.30303,0
MG06,bioscouter_keyword,10,1.0,0.1,1.0,1.0,0.30303,0
MG06,bioscouter_embedding,10,0.9,0.0,0.643415,0.0,0.272727,0
MG06,bioscouter_hybrid,10,0.9,0.0,0.643415,0.0,0.272727,0
MG06,native_source_api,10,1.0,0.1,1.0,1.0,0.30303,0
MG06,omicsdi,10,1.0,0.0,0.694356,0.0,0.30303,0
MG07,bioscouter_keyword,10,0.4,0.1,0.453757,0.5,0.363636,0
MG07,bioscouter_embedding,10,0.3,0.1,0.296062,0.25,0.272727,0
MG07,bioscouter_hybrid,10,0.3,0.1,0.282642,0.111111,0.272727,0
MG07,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
MG07,omicsdi,10,0.4,0.0,0.332195,0.0,0.363636,0
MG08,bioscouter_keyword,10,0.8,0.0,0.70151,0.0,0.5,0
MG08,bioscouter_embedding,10,0.9,0.0,0.905212,0.0,0.5625,0
MG08,bioscouter_hybrid,10,0.9,0.0,0.905212,0.0,0.5625,0
MG08,native_source_api,10,0.0,0.0,0.0,0.0,0.0,0
MG08,omicsdi,1,0.1,0.0,0.220092,0.0,0.0625,0
MO01,bioscouter_keyword,4,0.4,0.0,0.563788,0.0,0.363636,0
MO01,bioscouter_embedding,4,0.4,0.0,0.563788,0.0,0.363636,0
MO01,bioscouter_hybrid,10,0.5,0.0,0.523251,0.0,0.454545,0
MO01,native_source_api,4,0.4,0.0,0.563788,0.0,0.363636,0
MO01,omicsdi,3,0.3,0.0,0.469,0.0,0.272727,0
MO02,bioscouter_keyword,10,0.3,0.0,0.394997,0.0,0.375,0
MO02,bioscouter_embedding,10,0.0,0.0,0.0,0.0,0.0,0
MO02,bioscouter_hybrid,10,0.5,0.0,0.708898,0.0,0.625,0
MO02,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
MO02,omicsdi,0,0.0,0.0,0.0,0.0,0.0,1
MO03,bioscouter_keyword,10,0.3,0.0,0.469,0.0,0.130435,0
MO03,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.434783,0
MO03,bioscouter_hybrid,10,1.0,0.0,1.0,0.0,0.434783,0
MO03,native_source_api,10,0.0,0.0,0.0,0.0,0.0,0
MO03,omicsdi,10,1.0,0.0,1.0,0.0,0.434783,0
MO04,bioscouter_keyword,10,1.0,0.0,1.0,0.0,0.37037,0
MO04,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.37037,0
MO04,bioscouter_hybrid,10,1.0,0.0,1.0,0.0,0.37037,0
MO04,native_source_api,10,1.0,0.0,1.0,0.0,0.37037,0
MO04,omicsdi,2,0.1,0.0,0.220092,0.0,0.037037,0
MO05,bioscouter_keyword,10,1.0,0.0,1.0,0.0,0.384615,0
MO05,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.384615,0
MO05,bioscouter_hybrid,10,0.9,0.0,0.905212,0.0,0.346154,0
MO05,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
MO05,omicsdi,1,0.1,0.0,0.220092,0.0,0.038462,0
MO06,bioscouter_keyword,10,0.4,0.0,0.532621,0.0,0.235294,0
MO06,bioscouter_embedding,10,0.4,0.0,0.4819,0.0,0.235294,0
MO06,bioscouter_hybrid,10,0.8,0.0,0.848238,0.0,0.470588,0
MO06,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
MO06,omicsdi,5,0.4,0.0,0.538886,0.0,0.235294,0
MO07,bioscouter_keyword,10,0.0,0.0,0.0,0.0,0.0,0
MO07,bioscouter_embedding,10,0.0,0.0,0.0,0.0,0.0,0
MO07,bioscouter_hybrid,10,0.4,0.0,0.537483,0.0,0.666667,0
MO07,native_source_api,1,0.0,0.0,0.0,0.0,0.0,0
MO07,omicsdi,3,0.2,0.0,0.453904,0.0,0.333333,0
MO08,bioscouter_keyword,7,0.0,0.0,0.0,0.0,0.0,0
MO08,bioscouter_embedding,7,0.0,0.0,0.0,0.0,0.0,0
MO08,bioscouter_hybrid,10,0.7,0.0,0.752969,0.0,0.5,0
MO08,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
MO08,omicsdi,9,0.7,0.0,0.796761,0.0,0.5,0
MO09,bioscouter_keyword,10,0.5,0.0,0.602052,0.0,0.333333,0
MO09,bioscouter_embedding,10,0.5,0.0,0.401605,0.0,0.333333,0
MO09,bioscouter_hybrid,10,0.6,0.0,0.511355,0.0,0.4,0
MO09,native_source_api,1,0.0,0.0,0.0,0.0,0.0,0
MO09,omicsdi,10,0.7,0.0,0.760079,0.0,0.466667,0
MO10,bioscouter_keyword,10,0.6,0.0,0.646402,0.0,0.193548,0
MO10,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.322581,0
MO10,bioscouter_hybrid,10,0.9,0.0,0.889954,0.0,0.290323,0
MO10,native_source_api,3,0.3,0.0,0.469,0.0,0.096774,0
MO10,omicsdi,10,1.0,0.0,1.0,0.0,0.322581,0
P01,bioscouter_keyword,5,0.4,0.0,0.290912,0.0,0.266667,0
P01,bioscouter_embedding,5,0.4,0.0,0.285936,0.0,0.266667,0
P01,bioscouter_hybrid,10,0.5,0.0,0.199354,0.0,0.333333,0
P01,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P01,omicsdi,10,0.7,0.3,0.808931,1.0,0.466667,0
P02,bioscouter_keyword,10,1.0,0.2,0.514431,0.333333,0.4,0
P02,bioscouter_embedding,10,1.0,0.2,0.594749,1.0,0.4,0
P02,bioscouter_hybrid,10,1.0,0.2,0.594749,1.0,0.4,0
P02,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P02,omicsdi,9,0.8,0.6,0.832747,1.0,0.32,0
P03,bioscouter_keyword,10,0.2,0.0,0.059681,0.0,0.133333,0
P03,bioscouter_embedding,10,0.1,0.0,0.031071,0.0,0.066667,0
P03,bioscouter_hybrid,10,0.4,0.0,0.107077,0.0,0.266667,0
P03,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P03,omicsdi,10,1.0,0.8,0.991137,1.0,0.666667,0
P04,bioscouter_keyword,10,0.1,0.1,0.415782,1.0,0.125,0
P04,bioscouter_embedding,10,0.1,0.1,0.415782,1.0,0.125,0
P04,bioscouter_hybrid,10,0.1,0.1,0.415782,1.0,0.125,0
P04,native_source_api,1,0.1,0.1,0.415782,1.0,0.125,0
P04,omicsdi,10,0.8,0.2,0.709617,0.25,1.0,0
P05,bioscouter_keyword,10,0.3,0.0,0.157924,0.0,0.25,0
P05,bioscouter_embedding,10,0.2,0.0,0.101682,0.0,0.166667,0
P05,bioscouter_hybrid,10,0.6,0.0,0.225629,0.0,0.5,0
P05,native_source_api,1,0.1,0.0,0.095781,0.0,0.083333,0
P05,omicsdi,10,0.5,0.5,0.47372,0.2,0.416667,0
P06,bioscouter_keyword,10,1.0,0.0,1.0,0.0,0.357143,0
P06,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.357143,0
P06,bioscouter_hybrid,10,0.9,0.0,0.779908,0.0,0.321429,0
P06,native_source_api,10,1.0,0.0,1.0,0.0,0.357143,0
P06,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
P07,bioscouter_keyword,10,1.0,1.0,1.0,1.0,0.333333,0
P07,bioscouter_embedding,10,1.0,0.7,0.860634,1.0,0.333333,0
P07,bioscouter_hybrid,10,1.0,0.6,0.810367,1.0,0.333333,0
P07,native_source_api,10,1.0,0.0,0.333333,0.0,0.333333,0
P07,omicsdi,10,0.4,0.1,0.177876,0.2,0.133333,0
P08,bioscouter_keyword,5,0.2,0.0,0.095683,0.0,0.181818,0
P08,bioscouter_embedding,5,0.2,0.0,0.075033,0.0,0.181818,0
P08,bioscouter_hybrid,10,0.1,0.0,0.03273,0.0,0.090909,0
P08,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P08,omicsdi,10,0.9,0.7,0.888773,1.0,0.818182,0
P09,bioscouter_keyword,10,0.0,0.0,0.0,0.0,0.0,0
P09,bioscouter_embedding,10,0.0,0.0,0.0,0.0,0.0,0
P09,bioscouter_hybrid,10,0.0,0.0,0.0,0.0,0.0,0
P09,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P09,omicsdi,10,0.9,0.7,0.942549,1.0,1.0,0
P10,bioscouter_keyword,10,1.0,0.0,0.36493,0.0,0.333333,0
P10,bioscouter_embedding,10,1.0,0.0,0.36493,0.0,0.333333,0
P10,bioscouter_hybrid,10,0.8,0.0,0.31282,0.0,0.266667,0
P10,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P10,omicsdi,10,1.0,0.8,0.963797,1.0,0.333333,0
P11,bioscouter_keyword,2,0.2,0.0,0.124951,0.0,0.166667,0
P11,bioscouter_embedding,2,0.2,0.0,0.124951,0.0,0.166667,0
P11,bioscouter_hybrid,10,0.0,0.0,0.0,0.0,0.0,0
P11,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P11,omicsdi,10,1.0,0.9,0.998167,1.0,0.833333,0
P12,bioscouter_keyword,4,0.2,0.0,0.101402,0.0,0.153846,0
P12,bioscouter_embedding,4,0.2,0.0,0.083447,0.0,0.153846,0
P12,bioscouter_hybrid,10,0.2,0.0,0.060224,0.0,0.153846,0
P12,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
P12,omicsdi,10,1.0,0.6,0.913933,1.0,0.769231,0
S01,bioscouter_keyword,10,1.0,0.2,0.856695,1.0,0.47619,0
S01,bioscouter_embedding,10,1.0,0.2,0.808785,1.0,0.47619,0
S01,bioscouter_hybrid,10,1.0,0.1,0.743129,1.0,0.47619,0
S01,native_source_api,10,0.9,0.1,0.708942,1.0,0.428571,0
S01,omicsdi,10,0.1,0.1,0.12136,0.166667,0.047619,0
S02,bioscouter_keyword,10,1.0,0.7,0.733318,0.5,0.434783,0
S02,bioscouter_embedding,10,1.0,0.8,0.850663,1.0,0.434783,0
S02,bioscouter_hybrid,10,1.0,0.8,0.850663,1.0,0.434783,0
S02,native_source_api,10,0.5,0.0,0.189335,0.0,0.217391,0
S02,omicsdi,10,0.1,0.0,0.028381,0.0,0.043478,0
S03,bioscouter_keyword,10,0.5,0.0,0.648932,0.0,0.3125,0
S03,bioscouter_embedding,10,0.4,0.0,0.522496,0.0,0.25,0
S03,bioscouter_hybrid,10,0.6,0.0,0.650513,0.0,0.375,0
S03,native_source_api,10,0.5,0.0,0.648932,0.0,0.3125,0
S03,omicsdi,10,0.6,0.0,0.552068,0.0,0.375,0
S04,bioscouter_keyword,10,1.0,0.8,0.858516,1.0,0.454545,0
S04,bioscouter_embedding,10,1.0,0.6,0.738864,1.0,0.454545,0
S04,bioscouter_hybrid,10,1.0,0.6,0.738864,1.0,0.454545,0
S04,native_source_api,10,0.7,0.0,0.230995,0.0,0.318182,0
S04,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
S05,bioscouter_keyword,10,1.0,0.7,0.840053,1.0,0.434783,0
S05,bioscouter_embedding,10,1.0,0.6,0.630571,0.25,0.434783,0
S05,bioscouter_hybrid,10,1.0,0.6,0.630571,0.25,0.434783,0
S05,native_source_api,10,0.9,0.2,0.550551,1.0,0.391304,0
S05,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
S06,bioscouter_keyword,10,1.0,0.2,0.653503,0.333333,0.47619,0
S06,bioscouter_embedding,10,1.0,0.4,0.891183,1.0,0.47619,0
S06,bioscouter_hybrid,10,1.0,0.4,0.891183,1.0,0.47619,0
S06,native_source_api,10,1.0,0.0,0.470018,0.0,0.47619,0
S06,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
S07,bioscouter_keyword,10,1.0,0.0,0.694356,0.0,0.47619,0
S07,bioscouter_embedding,10,0.9,0.1,0.781361,0.333333,0.428571,0
S07,bioscouter_hybrid,10,0.8,0.1,0.733622,0.333333,0.380952,0
S07,native_source_api,10,0.9,0.0,0.646146,0.0,0.428571,0
S07,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
S08,bioscouter_keyword,10,1.0,0.2,0.548888,0.333333,0.434783,0
S08,bioscouter_embedding,10,1.0,0.4,0.784785,1.0,0.434783,0
S08,bioscouter_hybrid,10,1.0,0.4,0.784785,1.0,0.434783,0
S08,native_source_api,10,1.0,0.1,0.471266,0.166667,0.434783,0
S08,omicsdi,10,0.0,0.0,0.0,0.0,0.0,0
S09,bioscouter_keyword,10,1.0,0.2,0.613469,0.333333,0.454545,0
S09,bioscouter_embedding,10,1.0,0.5,0.961885,1.0,0.454545,0
S09,bioscouter_hybrid,10,1.0,0.5,0.961885,1.0,0.454545,0
S09,native_source_api,10,1.0,0.3,0.668843,0.333333,0.454545,0
S09,omicsdi,10,0.3,0.0,0.110841,0.0,0.136364,0
S10,bioscouter_keyword,10,1.0,0.4,0.86675,1.0,0.4,0
S10,bioscouter_embedding,10,1.0,0.4,0.669336,0.333333,0.4,0
S10,bioscouter_hybrid,10,1.0,0.4,0.669336,0.333333,0.4,0
S10,native_source_api,10,1.0,0.1,0.586714,1.0,0.4,0
S10,omicsdi,10,0.5,0.1,0.253024,0.166667,0.2,0
T01,bioscouter_keyword,10,1.0,0.0,0.582103,0.0,0.3125,0
T01,bioscouter_embedding,10,1.0,0.1,0.662935,0.125,0.3125,0
T01,bioscouter_hybrid,10,1.0,0.1,0.662935,0.125,0.3125,0
T01,native_source_api,10,0.6,0.1,0.371187,0.2,0.1875,0
T01,omicsdi,10,1.0,0.0,0.582103,0.0,0.3125,0
T02,bioscouter_keyword,10,1.0,0.5,0.752063,0.333333,0.322581,0
T02,bioscouter_embedding,10,1.0,0.3,0.777087,1.0,0.322581,0
T02,bioscouter_hybrid,10,1.0,0.3,0.777087,1.0,0.322581,0
T02,native_source_api,10,0.4,0.0,0.187208,0.0,0.129032,0
T02,omicsdi,10,0.9,0.0,0.379103,0.0,0.290323,0
T03,bioscouter_keyword,10,1.0,0.1,0.530968,0.333333,0.322581,0
T03,bioscouter_embedding,10,0.9,0.3,0.614846,0.333333,0.290323,0
T03,bioscouter_hybrid,10,0.8,0.2,0.526491,0.333333,0.258065,0
T03,native_source_api,10,0.4,0.1,0.385114,1.0,0.129032,0
T03,omicsdi,10,0.8,0.0,0.291515,0.0,0.258065,0
T04,bioscouter_keyword,10,1.0,0.6,0.797442,1.0,0.322581,0
T04,bioscouter_embedding,10,1.0,0.5,0.716225,1.0,0.322581,0
T04,bioscouter_hybrid,10,1.0,0.5,0.716225,1.0,0.322581,0
T04,native_source_api,10,0.4,0.1,0.299286,1.0,0.129032,0
T04,omicsdi,10,1.0,0.8,0.884222,1.0,0.322581,0
T05,bioscouter_keyword,10,1.0,0.8,0.906921,1.0,0.384615,0
T05,bioscouter_embedding,10,1.0,0.7,0.837632,1.0,0.384615,0
T05,bioscouter_hybrid,10,0.9,0.7,0.810614,1.0,0.346154,0
T05,native_source_api,0,0.0,0.0,0.0,0.0,0.0,1
T05,omicsdi,10,1.0,0.1,0.382243,0.142857,0.384615,0
T06,bioscouter_keyword,10,1.0,0.0,0.582103,0.0,0.30303,0
T06,bioscouter_embedding,10,1.0,0.0,0.582103,0.0,0.30303,0
T06,bioscouter_hybrid,10,1.0,0.0,0.582103,0.0,0.30303,0
T06,native_source_api,10,0.7,0.0,0.444257,0.0,0.212121,0
