"panel","system","source","record_count","queries_with_source_records","panel_query_count","record_scope","query_status_summary","source_request_status","source_http_status","deduplication_status","evidence_file"
"L10","bioscouter","MassIVE","150","3","10","source-attributed records summed across L10 queries; cross-query uniqueness not established","not captured in source aggregate","not captured","not captured","not established across queries","reproducibility/benchmark-freeze.json"
"T01-T80","bioscouter_keyword","geo","167","28","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","hca","9","6","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","mgnify","16","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","mgrast","10","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_keyword","pride","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","cellxgene","25","6","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","cptac","140","20","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","ena","272","29","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","encode","10","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","gdc","3","3","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","geo","196","32","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","hca","3","3","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","mgnify","3","3","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","mgrast","13","3","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_embedding","pride","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","cellxgene","28","13","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","cptac","98","18","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","ena","292","47","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","encode","10","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","gdc","6","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","geo","238","41","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","hca","5","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","metabolights","80","14","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","mgnify","32","12","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","mgrast","9","7","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","bioscouter_hybrid","pride","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","cellxgene","100","10","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","cptac","40","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","ena","70","7","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","gdc","4","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","geo","160","19","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","gtex","1","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","metabolights","35","8","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","mgnify","33","6","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","mgrast","10","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","native_source_api","pride","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","biostudies-arrayexpress","222","42","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","biostudies-literature","165","47","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","dbgap","3","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","ega","19","10","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","eva","1","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","geo","10","9","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","gpmdb","2","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","iprox","11","8","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","jpost","5","3","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","massive","32","14","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","metabolights_dataset","67","16","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","metabolomics_workbench","5","4","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","panorama","3","2","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","peptide_atlas","8","1","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","pride","58","18","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
"T01-T80","omicsdi","project","88","32","80","source labels in returned top-10 records; counts are row totals, not unique across queries","80/80 successful system runs per system-summary.csv","source-level request status not captured","source-level HTTP status not captured","not assessed across queries","reproducibility/controlled-evaluation-80-20260703-030544/system_runs.json"
