query_id,query,omics_type,plain_status,expanded_status,plain_results,expanded_results,shared_results,jaccard_overlap,plain_elapsed_s,expanded_elapsed_s
EPI08,neuronal differentiation ATAC-seq,epigenomics,429,429,0,0,0,1.0,0.016,0.014
MG01,crohn disease gut microbiome metagenomics,metagenomics,429,429,0,0,0,1.0,0.016,0.015
MG02,preterm infant stool metagenomics,metagenomics,429,429,0,0,0,1.0,0.016,0.016
MG03,coral reef bleaching metagenomics,metagenomics,429,429,0,0,0,1.0,0.015,0.015
MG04,soil drought microbiome metagenomics,metagenomics,429,429,0,0,0,1.0,0.017,0.013
MG05,airway cystic fibrosis microbiome,metagenomics,429,429,0,0,0,1.0,0.017,0.014
MG06,marine plankton metagenomics,metagenomics,429,429,0,0,0,1.0,0.002,0.002
MG07,antibiotic treated mouse gut metagenomics,metagenomics,429,429,0,0,0,1.0,0.027,0.016
MG08,MG-RAST wastewater microbiome,metagenomics,429,429,0,0,0,1.0,0.003,0.029
MO01,rheumatoid arthritis synovium multi-omics,multi_omics,429,429,0,0,0,1.0,0.015,0.002
MO02,diabetic kidney disease proteogenomics,multi_omics,429,429,0,0,0,1.0,0.002,0.003
MO03,ovarian cancer spatial multi-omics,multi_omics,429,429,0,0,0,1.0,0.002,0.002
MO04,lung cancer proteogenomics CPTAC,multi_omics,429,429,0,0,0,1.0,0.021,0.014
MO05,Alzheimer multi-omics brain proteogenomics,multi_omics,429,429,0,0,0,1.0,0.002,0.002
MO06,breast cancer methylome transcriptome multi-omics,multi_omics,429,429,0,0,0,1.0,0.002,0.002
MO07,sepsis transcriptome proteome multi-omics,multi_omics,429,429,0,0,0,1.0,0.023,0.005
MO08,IBD microbiome metabolome multi-omics,multi_omics,429,429,0,0,0,1.0,0.004,0.005
MO09,pediatric brain tumor multi-omics,multi_omics,429,429,0,0,0,1.0,0.005,0.002
MO10,pancreatic cancer single-cell multi-omics,multi_omics,429,429,0,0,0,1.0,0.003,0.004
